Present,Präteritum,Perfekt,Italian,PresentScore,PräteritumScore,PerfektScore
gleichen,glich,hat geglichen,resemble,1,1,1
gleiten,glitt,ist geglitten,glide,1,1,1
graben,grub,hat gegraben,dig,1,1,1
greifen,griff,hat gegriffen,grasp,1,1,1
haben,hatte,hat gehabt,have,1,1,1
halten,hielt,hat gehalten,hold,1,1,1
hängen,hing,hat gehangen,be hanging,1,1,1
heben,hob,hat gehoben,raise,1,1,1
heißen,hieß,hat geheißen,be called,1,1,1
helfen,half,hat geholfen,help,1,1,1
kennen,kannte,hat gekannt,know,1,1,1
klingen,klang,hat geklungen,sound,1,1,1
kommen,kam,ist gekommen,come,1,1,1
können,konnte,hat gekonnt,can,1,1,1
kriechen,kroch,ist gekrochen,crawl,1,1,1
laden,lud,hat geladen,load,1,1,1
lassen,ließ,hat gelassen,let,1,1,1
laufen,lief,ist gelaufen,run,1,1,1
leiden,litt,hat gelitten,suffer,1,1,1
leihen,lieh,hat geliehen,lend,1,1,1
lesen,las,hat gelesen,read,1,1,1
liegen,lag,hat gelegen,lie,1,1,1
lügen,log,hat gelogen,tell lies,1,1,1
messen,maß,hat gemessen,measure,1,1,1
mögen,mochte,hat gemocht,like,1,1,1
müssen,musste,hat gemusst,must,1,1,1
nehmen,nahm,hat genommen,take,1,1,1
nennen,nannte,hat genannt,name,1,1,1
pfeifen,pfiff,hat gepfiffen,whistle,1,1,1
raten,riet,hat geraten,advise,1,1,1
reiben,rieb,hat gerieben,rub,1,1,1
reißen,riss,hat gerissen,tear,1,1,1
reiten,ritt,ist geritten,ride,1,1,1
rennen,rannte,ist gerannt,run,1,1,1
riechen,roch,hat gerochen,smell,1,1,1
rufen,rief,hat gerufen,call,1,1,1
scheiden,schied,ist geschieden,separate,1,1,1
scheinen,schien,hat geschienen,seem,1,1,1
schieben,schob,hat geschoben,shove,1,1,1
schießen,schoss,hat geschossen,shoot,1,1,1
schlafen,schlief,hat geschlafen,sleep,1,1,1
schlagen,schlug,hat geschlagen,hit,1,1,1
schließen,schloss,hat geschlossen,shut,1,1,1
schneiden,schnitt,hat geschnitten,cut,1,1,1
schreiben,schrieb,hat geschrieben,write,1,1,1
schreien,schrie,hat geschrie(e)n,shout,1,1,1
schweigen,schwieg,hat geschwiegen,be(come) silent,1,1,1
schwellen,schwoll,ist geschwollen,swell,1,1,1
schwimmen,schwamm,ist geschwommen,swim,1,1,1
schwingen,schwang,hat geschwungen,swing,1,1,1
schwören,schwur,hat geschworen,swear,1,1,1
sehen,sah,hat gesehen,see,1,1,1
sein,war,ist gewesen,be,1,1,1
senden,sandte,hat gesandt,send,1,1,1
singen,sang,hat gesungen,sing,1,1,1
sinken,sank,ist gesunken,sink,1,1,1
sitzen,saß,hat gesessen,be sitting,1,1,1
sollen,sollte,hat gesollt,be obliged to,1,1,1
sprechen,sprach,hat gesprochen,speak,1,1,1
springen,sprang,ist gesprungen,jump,1,1,1
stechen,stach,hat gestochen,prick,1,1,1
stehen,stand,hat gestanden,stand,1,1,1
stehlen,stahl,hat gestohlen,steal,1,1,1
steigen,stieg,ist gestiegen,rise,1,1,1
sterben,starb,ist gestorben,die,1,1,1
stinken,stank,hat gestunken,stink,1,1,1
stoßen,stieß,hat gestoßen,push,1,1,1
streiten,stritt,hat gestritten,quarrel,1,1,1
tragen,trug,hat getragen,carry,1,1,1
treffen,traf,hat getroffen,meet,1,1,1
treiben,trieb,hat getrieben,force,1,1,1
treten,trat,ist getreten,step,1,1,1
trinken,trank,hat getrunken,drink,1,1,1
tun,tat,hat getan,do,1,1,1
verbergen,verbarg,hat verborgen,hide,1,1,1
verderben,verdarb,hat verdorben,spoil,1,1,1
vergessen,vergaß,hat vergessen,forget,1,1,1
verlassen,verließ,hat verlassen,leave,1,1,1
verlieren,verlor,hat verloren,lose,1,1,1
vermeiden,vermied,hat vermieden,avoid,1,1,1
verschwinden,verschwand,ist verschwunden,disappear,1,1,1
verzeihen,verzieh,hat verziehen,pardon,1,1,1
wachsen,wuchs,ist gewachsen,grow,1,1,1
waschen,wusch,hat gewaschen,wash,1,1,1
wenden,wandte,hat gewandt,turn,1,1,1
werben,warb,hat geworben,advertise,1,1,1
werden,wurde,ist geworden,become,1,1,1
werfen,warf,hat geworfen,throw,1,1,1
wiegen,wog,hat gewogen,weigh,1,1,1
wissen,wusste,hat gewusst,know,1,1,1
wollen,wollte,hat gewollt,want,1,1,1
ziehen,zog,hat gezogen,pull,1,1,1
zwingen,zwang,hat gezwungen,compel,1,1,1
