Article,German,Italian,Score
das, Märchen,la fiaba,1
der, Fan,il fan,1
der, Immobiliemakler,l'agente immobiliare,1
der, Neubau,(nuova) costruzione,1
der, Zustand,lo stato/la condizione,1
das,s heisst doch,ciò significa che,1
der, Stellplatz,il posto auto,1
die, Tiefgarage,il garage sotterraneo,1
die, Nebenkosten,le spese accessorie,1
das, Erstbezug,la prima occupazione,1
die, Renovierung,il restauro,1
die, Immobilienfirma,l'agenzia immobiliare,1
die, Kaution,la cauzione,1
die, Provision,la provvigione,1
die, Anzeige,la denuncia/l'annuncio,1
das, Gelingen,la riuscita,1
der, Weg,la strada/via,2
die, Medaille,la medaglia,1
der, Mietvertrag,il contratto d'affitto,1
der, Maler,il pittore,1
der, Herd,la cucina/i fornelli,1
die, Waschmaschine,la lavatrice,1
die, Fläche,la superficie,1
der, Holzboden/das Parkett,il parquet,1
der, Schaden,il danno/lo svantaggio,1
das, Kellergeschoss,lo scantinato,1
das, Erdgeschoss,il piano terra,1
das, Verkehrsmittel,il mezzo di comunicazione,1
die, Apotheke,la farmacia,1
das, Hochhaus,il palazzo,1
das, Gebäude,l'edificio,1
das, Sozialleben,la vita sociale,1
das, Leben,la vita,1
der, Verkehr,il traffico,1
der, Aufzug,l'ascensore,1
der, Dübel,il tassello,1
das, Werkzeug,lo strumento,1
der, Hammer,il martello,1
das, Bild,l'immagine/il quadro,1
das, Messer,il coltello,1
das, Steak,la bistecca,1
die, Schere,le forbici,1
die, Zange,le pinze,1
der, Lappen,lo straccio,1
der, Kochtopf,la pentola,1
die, Pfanne,la padella,1
der, Kochlöffel,il cucchiaio di legno,1
die, Gabel,la forchetta,1
das, Subjekt,il soggetto,1
die, Zähne,i denti,1
die, Seife,il sapone,1
der, Elektriker,l'elettricista,1
der, Maler,l'imbianchino,1
der, Arzt,il medico curante,1
der, Stöpsel,il tappo,1
der, Strom,la corrente elettrica,1
die, Wand,la parete,1
der, Pinsel,il pennello,1
die, Schale,la buccia,1
der, Eimer,il secchio,1
der, Nagel,il chiodo,1
die, Leiter,la scala,1
der, Schraubenzieher,il cacciavite,1
der, Schwamm,la spugna,1
die, Bohrmaschine,il trapano,1
der, Baumarkt,il ferramenta,1
die, Halsschmerzen,il mal di gola,1
der, Schal,la sciarpa,1
der, Staubsauger,l'aspirapolvere,1
die, Schössel,la scodella,1
der, Gegenstand,l'oggetto,1
das, Loch,il buco/foro,1
der, Kamm,il pettine,1
der, Personalausweis,il documento di identità,1
der, Schlüssel,la chiave,1
die, Geburtsukunde,il certificato di nascita,1
der, Strafzettel,la multa,1
das, Einschreiben,la lettera raccomandata,1
die, Postbote,il postino,1
der, Briefumschlag,la busta,1
der, Brief,la lettera,1
die, Postkarte,la cartolina,1
die, Briefmarke,il francobollo,1
der, Postschalter,lo sportello dell'ufficio postale,1
das, Paket,il pacco,1
der, Standesbeamte,l'impiegato dell'anagrafe,1
der, Kontostand,il saldo,1
der, Stock, il bastone,1
das, Stockwerk,il piano,1
der, Rentner,il pensionato,1
der, Gärtner,il giardiniere,1
der, Sänger,il cantante,1
der, Studierende,lo studente,1
das, Einwohnermeldeamt,l'ufficio anagrafe,1
das, Standesamt,l'ufficio anagrafe,1
das, Fundbüro,l'ufficio oggetti smarriti,1
das, Binde,la fasciatura,1
die, Geheimzahl,il codice segreto,1
der, Kontoauszug,l'estratto conto,1
die, Überweisung,il bonifico,1
der, Dauerauftrag,l' ordine di pagamento,1
der, Absender,il mittente,1
der, Empfänger,il ricevente,1
das, Gebirge,le montagne,1
die, Hauptstadt,la capitale,1
das, Meer,il mare,1
der, Bauer,il contadino,1
die, Milch,il latte,1
das, Fell,la pelle,1
der, Geschmack,il gusto/sapore,1
