Article,German,Italian,Score
die,Nebenkosten,le spese accessorie,2
das,Erstbezug,la prima occupazione,4
die,Renovierung,il restauro,1
die,Immobilienfirma,l'agenzia immobiliare,1
die,Kaution,la cauzione,2
die,Provision,la provvigione,2
die,Anzeige,la denuncia/l'annuncio,2
das,Gelingen,la riuscita,2
der,Weg,la strada/via,2
die,Medaille,la medaglia,1
der,Mietvertrag,il contratto d'affitto,3
der,Herd,la cucina/i fornelli,1
die,Waschmaschine,la lavatrice,1
die,Fläche,la superficie,1
der,Holzboden/das Parkett,il parquet,2
der,Schaden,il danno/lo svantaggio,2
das,Kellergeschoss,lo scantinato,1
das,Erdgeschoss,il piano terra,2
das,Verkehrsmittel,il mezzo di comunicazione,2
die,Apotheke,la farmacia,3
das,Hochhaus,il palazzo,3
das,Gebäude,l'edificio,1
das,Sozialleben,la vita sociale,2
das,Leben,la vita,2
der,Verkehr,il traffico,2
der,Aufzug,l'ascensore,3
der,Dübel,il tassello,2
das,Werkzeug,lo strumento,2
der,Hammer,il martello,2
das,Bild,l'immagine/il quadro,2
das,Messer,il coltello,2
das,Steak,la bistecca,2
die,Schere,le forbici,3
die,Zange,le pinze,2
der,Lappen,lo straccio,2
der,Kochtopf,la pentola,2
die,Pfanne,la padella,3
der,Kochlöffel,il cucchiaio di legno,1
die,Gabel,la forchetta,2
das,Subjekt,il soggetto,2
die,Zähne,i denti,1
die,Seife,il sapone,2
der,Elektriker,l'elettricista,2
der,Maler,l'imbianchino,2
der,Arzt,il medico curante,3
der,Stöpsel,il tappo,2
der,Strom,la corrente elettrica,2
die,Wand,la parete,2
der,Pinsel,il pennello,2
die,Schale,la buccia,2
der,Eimer,il secchio,2
der,Nagel,il chiodo,1
die,Leiter,la scala,2
der,Schraubenzieher,il cacciavite,2
der,Schwamm,la spugna,1
die,Bohrmaschine,il trapano,2
der,Baumarkt,il ferramenta,1
die,Halsschmerzen,il mal di gola,1
der,Schal,la sciarpa,1
der,Staubsauger,l'aspirapolvere,1
die,Schössel,la scodella,1
der,Gegenstand,l'oggetto,2
das,Loch,il buco/foro,2
der,Kamm,il pettine,2
der,Personalausweis,il documento di identità,2
der,Schlüssel,la chiave,2
die,Geburtsukunde,il certificato di nascita,1
der,Strafzettel,la multa,2
das,Einschreiben,la lettera raccomandata,2
die,Postbote,il postino,2
der,Briefumschlag,la busta,1
der,Brief,la lettera,3
die,Postkarte,la cartolina,2
die,Briefmarke,il francobollo,2
der,Postschalter,lo sportello dell'ufficio postale,2
das,Paket,il pacco,2
der,Standesbeamte,l'impiegato dell'anagrafe,1
der,Kontostand,il saldo,2
der,Stock,il bastone,1
das,Stockwerk,il piano,2
der,Rentner,il pensionato,1
der,Gärtner,il giardiniere,2
der,Sänger,il cantante,2
der,Studierende,lo studente,2
das,Einwohnermeldeamt,l'ufficio anagrafe,4
das,Standesamt,l'ufficio anagrafe,2
das,Fundbüro,l'ufficio oggetti smarriti,2
das,Binde,la fasciatura,2
die,Geheimzahl,il codice segreto,2
der,Kontoauszug,l'estratto conto,3
die,Überweisung,il bonifico,1
der,Dauerauftrag,l' ordine di pagamento,2
der,Absender,il mittente,3
der,Empfänger,il ricevente,2
das,Gebirge,le montagne,2
die,Hauptstadt,la capitale,1
der,Bauer,il contadino,2
die,Milch,il latte,2
das,Fell,la pelle,3
der,Geschmack,il gusto/sapore,2
